descripcion,nombre,idTipo,idValor
,DNI,1,001
,CARNET DE FUERZAS POLICIALES,1,002
,CARNE DE FUERZAS ARMADAS,1,003
,CARNE DE EXTRANJERIA,1,004
,PASAPORTE,1,007
,DOC.PROVISIONAL DE IDENTIDAD,1,008
,AUTOGENERADO,1,010
,PARTIDA DE NACIMIENTO,1,011
,TRABAJADOR MENOR DE EDAD,1,013
,AVENIDA,2,001
,JIRON,2,002
,CALLE,2,003
,PASAJE,2,004
,ALAMEDA,2,005
,MALECON,2,006
,OVALO,2,007
,PARQUE,2,008
,PLAZA,2,009
,CARRETERA,2,010
,BLOCK,2,011
,URBANIZACION,3,001
,PUEBLO JOVEN,3,002
,UNIDAD VECINAL,3,003
,CONJUNTO HABITACIONAL,3,004
,ASENTAMIENTO HUMANO,3,005
,COOPERATIVA,3,006
,RESIDENCIAL,3,007
,ZONA INDUSTRIAL,3,008
,GRUPO,3,009
,CASERIO,3,010
,FUNDO,3,011
,HIJO,4,1
,CONYUGE,4,2
,CONCUBINO,4,3
,GESTANTE,4,4
,PADRES,4,5
,APODERADO,4,6
,HIJO MENOR DE EDAD,4,7
,HIJO MAYOR DE EDAD INCAP PERM,4,8
,ESCRITURA PUBLICA,5,001
,SENTENCIA DE DECLARATORIA DE PATERNIDAD,5,002
,TESTAMENTO,5,003
,RESOLUCION DE INCAPACIDAD,5,004
,ACTA O PARTIDA DE MATRIMONIO CIVIL,5,005
,ACTA O PARTIDA DE MATRIMONIO INSCRITO EN REG CONSULAR PERUANO.,5,006
,ACTA O PARTIDA DE MATRIMONIO REALIZADO EN EL EXTERIOR E INSCRITO EN RENIEC O MUNICIPALIDAD.,5,007
,ESCRITURA PUBLICA - RECONOC. DE UNION DE HECHO - LEY N.O 29560,5,008
,RESOLUCION JUDICIAL - RECONOC. DE UNION DE HECHO,5,009
,ACTA DE NACIMIENTO O DOCUMENTO ANALOGO QUE SUSTENTA FILIACION.,5,010
,FALLECIMIENTO,6,002
,OTROS,6,003
,DIVORCIO O DISOLUCION DE VINCULO MATRIMONIAL,6,004
,FIN DE CONCUBINATO,6,005
,FIN DE LA GESTACION,6,006
,HIJO MAYOR DE EDAD,6,007
,SIN INSTRUCCION,7,000
,PRIMARIA,7,001
,PRIMARIA INCOMPLET,7,002
,SECUNDARIA,7,003
,SECUNDARIA INCOMPL,7,004
,PROFESIONAL TECNIC,7,005
,TECNICO INCOMPLETO,7,006
,UNIVERSITARIO TITU,7,007
,UNIVERSITARIO BACH,7,008
,UNIVERSITARIO INCO,7,009
,MASTER,7,010
,DOCTORADO,7,011
,EDUC. ESPECIAL INC,7,012
,EDUC.ESPECIAL COMP,7,013
,EDUC.SUP.INST.INCO,7,014
,EDUC.SUP.INST.COMP,7,015
,UNIVERSITARIO COMP,7,016
,ESTUDIOS MAESTRIA,7,017
,ESTUDIOS MAESTRIA,7,018
,ESTUDIOS DOCTORADO,7,019
,ESTUDIOS DOCTORADO,7,020
,NINGUNA,8,000
,ARQUITECTURA,8,001
,INGENIERIA DE SISTEMAS,8,002
,INGENIERO DE INDUSTRIAL,8,003
,INGENIERO QUIMICO,8,004
,INGENIERO DE MINAS,8,005
,INGENIERO CIVIL,8,006
,INGENIERO AGRONOMO,8,007
,INGENIERO INFORMATICO,8,008
,INGENIERO,8,009
,QUIMICO FARMACEUTICO,8,010
,FARMACIA,8,011
,COMPUTACION E INFORMATICA,8,012
,SECRETARIADO EJECUTIVO BILINGUE,8,013
,INGLES,8,014
,DERECHO,8,015
,"AUDICION, LENGUAJE Y PROBLEMAS DE APRENDIZAJE",8,016
,PSICOLOGIA,8,017
,INGENIERO GEOGRAFO,8,018
,ARTES PLASTICAS,8,019
,DIRECCION DE EMPRESAS,8,020
,INGENIERIA MECANICA ELECTRICA,8,021
,TRADUCCION E INTERPRETACION,8,022
,ENFERMERIA,8,023
,INGENIERIA CIVIL,8,024
,INSTRUCTORA DE INGLES,8,025
,SECRETARIA BILINGUE,8,026
,HISTORIA IBEROAMERICANA,8,027
,COMUNICACION,8,028
